sale_id,sale_date,amount,product
0,1998-5-12,8445.3,whatsit
1,2005-11-27,4515.11,thingamabob
2,2023-12-21,7902.28,thingamabob
3,2026-9-19,3918.78,doohickey
4,2026-7-27,2170.68,car
5,2019-12-15,2500.40,phone
6,2002-10-13,2845.86,whoozit
7,2020-5-24,2351.70,phone
8,2026-10-28,7545.56,whatchamacalit
9,2013-6-7,1573.57,whoozit
10,2019-10-25,8574.69,whoozit
11,2016-6-3,5177.53,whatchamacalit
12,2025-7-6,5635.28,book
13,2005-1-14,4021.83,car
14,2012-4-4,7541.18,thingamabob
15,2025-8-24,6902.46,pet
16,2007-9-6,8815.29,gizmo
17,2017-7-11,9299.50,thingamabob
18,2015-12-5,5280.44,car
19,1998-10-4,2745.22,pet
20,2026-9-7,8085.72,whatchamacalit
21,2013-4-26,1542.18,thingy
22,1995-2-2,8152.45,subscription
23,2011-6-22,8400.41,gadget
24,2025-6-24,2797.63,gizmo
25,1997-6-16,7675.73,gizmo
26,2009-5-6,3162.2,phone
27,2014-1-12,4144.91,gadget
28,2021-1-22,5243.39,pet
29,2023-5-4,6715.28,toy
30,2008-7-27,8568.11,gadget
31,2026-11-26,105.11,whatchamacalit
32,2000-9-17,5086.30,pet
33,2007-9-16,3352.70,doohickey
34,2004-1-7,6492.21,toy
35,2020-1-11,2048.1,whatsit
36,2009-9-10,1077.93,subscription
37,2025-7-15,1385.9,whatsit
38,2019-5-30,1240.60,toy
39,2018-11-21,9488.37,whatchamacalit
40,1995-12-17,32.52,car
41,2006-12-20,5108.29,whoozit
42,2016-9-1,9543.98,gizmo
43,2004-6-30,493.56,subscription
44,2022-8-16,5517.53,thingamabob
45,2008-2-13,9232.51,gadget
46,2003-1-24,1432.68,doohickey
47,2000-7-18,9996.85,toy
48,2022-7-14,1213.24,phone
49,2012-11-29,425.46,gizmo
50,2000-9-16,2960.24,gizmo
51,2003-8-13,957.10,thingamabob
52,1998-2-16,6419.87,gizmo
53,2022-6-25,6052.76,car
54,2011-4-10,4470.44,gizmo
55,2023-11-24,210.24,doohickey
56,2003-6-8,3650.75,phone
57,2026-12-25,8214.32,whoozit
58,2016-9-2,643.84,gizmo
59,2026-3-25,3333.94,thingamabob
60,2015-9-21,796.35,whoozit
61,2025-2-21,3658.5,whoozit
62,2018-12-13,1005.32,whatchamacalit
63,1998-9-22,5376.40,gadget
64,1999-1-17,2798.33,toy
65,2000-10-3,2656.16,whatsit
66,2025-3-21,2138.50,subscription
67,2002-8-17,6780.12,toy
68,1996-2-14,305.94,phone
69,1995-7-11,2425.76,whoozit
70,2003-6-15,5278.71,whoozit
71,1998-4-3,6327.6,whatchamacalit
72,2013-5-3,5277.27,whoozit
73,2011-10-30,3191.73,toy
74,2019-6-25,5532.3,pet
75,2009-2-16,5456.69,thingamabob
76,1998-10-7,5985.32,gadget
77,2015-12-19,7466.81,whatsit
78,2009-6-21,1403.65,whatsit
79,1996-11-8,779.56,whoozit
80,2003-5-20,6377.90,subscription
81,2011-7-2,5634.56,whatsit
82,2005-10-8,5861.38,subscription
83,1997-2-24,4136.73,pet
84,2002-12-16,7265.68,book
85,2019-4-24,3433.68,car
86,2010-2-19,2645.17,doohickey
87,2014-11-29,2020.99,phone
88,2011-1-15,9306.7,whatchamacalit
89,2007-11-28,9415.61,whatchamacalit
90,2006-9-7,4022.2,subscription
91,2011-3-5,8714.66,thingamabob
92,1997-5-5,217.71,book
93,1996-9-5,2964.62,doohickey
94,2013-10-22,8715.56,toy
95,1997-2-20,9973.55,pet
96,2015-11-3,1207.60,pet
97,2025-2-20,5972.78,pet
98,2010-4-29,1195.16,book
99,2000-2-11,6584.29,gadget
100,2014-6-24,75.37,subscription
101,2000-6-8,3748.39,gizmo
102,2004-1-28,6071.41,whatchamacalit
103,2008-4-10,9646.20,doohickey
104,2007-9-8,931.12,gadget
105,2010-1-6,3253.88,pet
106,2001-9-10,3769.31,whatsit
107,2002-12-28,1905.18,gizmo
108,2010-11-6,3013.77,gadget
109,2025-12-9,9236.25,doohickey
110,2002-5-1,6224.57,phone
111,2010-10-19,1968.54,pet
112,2009-9-21,3557.96,whatsit
113,2019-10-15,1372.48,whoozit
114,2002-11-1,3784.66,doohickey
115,2013-10-26,753.71,thingy
116,2021-2-5,2171.85,car
117,2002-12-25,7976.56,thingamabob
118,2016-4-14,7054.80,thingy
119,2007-6-18,1996.6,thingy
120,2024-11-27,6688.44,thingamabob
121,2018-9-19,4384.9,gizmo
122,2001-8-16,9870.78,toy
123,2001-6-1,1150.50,phone
124,2001-10-7,2950.20,whoozit
125,2003-5-7,6586.49,whoozit
126,2014-3-23,2134.44,toy
