item_id,item_name,category_id,max_quantity
0,? Block,1,1
1,2021 celebratory arch,1,1
2,2022 celebratory arch,1,1
3,ABD,1,1
4,acoustic guitar,1,1
5,alto saxophone,1,1
6,amazing machine,1,1
7,amp,1,1
8,anatomical model,1,1
9,anchor statue,1,1
10,angled signpost,1,1
11,antique bed,1,1
12,antique bureau,1,1
13,antique chair,1,1
14,antique clock,1,1
15,antique console table,1,1
16,antique mini table,1,1
17,antique table,1,1
18,antique vanity,1,1
19,antique wardrobe,1,1
20,apple chair,1,1
21,Aquarius urn,1,1
22,arcade combat game,1,1
23,arcade fighting game,1,1
24,arcade mahjong game,1,1
25,arcade seat,1,1
26,arched reception counter,1,1
27,Aries rocking chair,1,1
28,artful bed,1,1
29,artful chair,1,1
30,artful lamp,1,1
31,artful screen,1,1
32,artful shelves,1,1
33,artisanal bug cage,1,1
34,artsy chair,1,1
35,artsy table,1,1
36,asteroid,1,1
37,astronaut suit,1,1
38,automatic washer,1,1
39,azumaya gazebo,1,1
40,baby bed,1,1
41,baby chair,1,1
42,ball catcher,1,1
43,bamboo basket,1,1
44,bamboo bench,1,1
45,bamboo doll,1,1
46,bamboo floor lamp,1,1
47,bamboo grass,1,1
48,bamboo noodle slide,1,1
49,bamboo partition,1,1
50,bamboo shelf,1,1
51,bamboo speaker,1,1
52,bamboo stool,1,1
53,bamboo stopblock,1,1
54,baobab,1,1
55,barbecue,1,1
56,barbell,1,1
57,barrel,1,1
58,basic school chair,1,1
59,basic teacher's desk,1,1
60,basketball hoop,1,1
61,bath stool,1,1
62,bathroom sink,1,1
63,bathroom stall,1,1
64,bathtub with yuzu,1,1
65,beach chair,1,1
66,beach chairs with parasol,1,1
67,beach towel,1,1
68,beekeeper's hive,1,1
69,bidet,1,1
70,big festive tree,1,1
71,Big Man bench,1,1
72,billiard table,1,1
73,bird- of- paradise,1,1
74,birdbath,1,1
75,birdcage,1,1
76,birdhouse,1,1
77,birthday sign,1,1
78,birthday table,1,1
79,bistro table,1,1
80,block,1,1
81,blossom- viewing lantern,1,1
82,blue corner,1,1
83,bonfire,1,1
84,bonsai shelf,1,1
85,bow,1,1
86,box corner sofa,1,1
87,box sofa,1,1
88,box- shaped seat,1,1
89,boxy stool,1,1
90,Brake Tapper,1,1
91,brick oven,1,1
92,brick well,1,1
93,bubble machine,1,1
94,bulldozer,1,1
95,bunk bed,1,1
96,Bunny Day arch,1,1
97,Bunny Day bed,1,1
98,Bunny Day festive balloons,1,1
99,Bunny Day garden flag,1,1
100,Bunny Day merry balloons,1,1
101,Bunny Day planter box,1,1
102,Bunny Day stool,1,1
103,Bunny Day table,1,1
104,Bunny Day topiary,1,1
105,Bunny Day tree,1,1
106,Bunny Day vanity,1,1
107,Bunny Day wardrobe,1,1
108,busing station,1,1
109,butter churn,1,1
110,cacao tree,1,1
111,cactus,1,1
112,caged cart,1,1
113,campfire,1,1
114,campfire cookware,1,1
115,camping cot,1,1
116,campsite sign,1,1
117,Cancer table,1,1
118,candy machine,1,1
119,Capricorn ornament,1,1
120,capsule- toy machine,1,1
121,cardboard bed,1,1
122,cardboard chair,1,1
123,cardboard sofa,1,1
124,cardboard table,1,1
125,carp banner,1,1
126,castle gate,1,1
127,castle tower,1,1
128,castle wall,1,1
129,cat tower,1,1
130,cave,1,1
131,cello,1,1
132,cement mixer,1,1
133,chalkboard,1,1
134,champion's pennant,1,1
135,changing room,1,1
136,checkout counter,1,1
137,cherry- blossom branches,1,1
